ccode,country,year,age,gender,status,urban,population,education,sector,sector_group,informal
BEN,Benin,2015,15,female,employed,rural,15974,,,,
BEN,Benin,2015,15,female,employed,urban,11873,,,,
BEN,Benin,2015,15,female,unemployed,rural,515,,,,
BEN,Benin,2015,15,female,unemployed,urban,989,,,,
BEN,Benin,2015,15,male,employed,rural,13635,,,,
BEN,Benin,2015,15,male,employed,urban,11497,,,,
BEN,Benin,2015,15,male,unemployed,urban,724,,,,
BEN,Benin,2015,15,male,unemployed,rural,337,,,,
BEN,Benin,2015,16,female,employed,urban,17167,,,,
BEN,Benin,2015,16,female,employed,rural,23099,,,,
BEN,Benin,2015,16,female,unemployed,rural,744,,,,
BEN,Benin,2015,16,female,unemployed,urban,1431,,,,
BEN,Benin,2015,16,male,employed,rural,19735,,,,
BEN,Benin,2015,16,male,employed,urban,16640,,,,
BEN,Benin,2015,16,male,unemployed,urban,1047,,,,
BEN,Benin,2015,16,male,unemployed,rural,489,,,,
BEN,Benin,2015,17,female,employed,rural,27848,,,,
BEN,Benin,2015,17,female,employed,urban,20697,,,,
BEN,Benin,2015,17,female,unemployed,urban,1725,,,,
BEN,Benin,2015,17,female,unemployed,rural,897,,,,
BEN,Benin,2015,17,male,employed,rural,23862,,,,
BEN,Benin,2015,17,male,employed,urban,20118,,,,
BEN,Benin,2015,17,male,unemployed,urban,1266,,,,
BEN,Benin,2015,17,male,unemployed,rural,591,,,,
BEN,Benin,2015,18,female,employed,urban,21018,,,,
BEN,Benin,2015,18,female,employed,rural,28279,,,,
BEN,Benin,2015,18,female,unemployed,urban,1752,,,,
BEN,Benin,2015,18,female,unemployed,rural,910,,,,
BEN,Benin,2015,18,male,employed,rural,23862,,,,
BEN,Benin,2015,18,male,employed,urban,20118,,,,
BEN,Benin,2015,18,male,unemployed,urban,1266,,,,
BEN,Benin,2015,18,male,unemployed,rural,591,,,,
BEN,Benin,2015,19,female,employed,rural,25473,,,,
BEN,Benin,2015,19,female,employed,urban,18932,,,,
BEN,Benin,2015,19,female,unemployed,rural,820,,,,
BEN,Benin,2015,19,female,unemployed,urban,1578,,,,
BEN,Benin,2015,19,male,employed,rural,21530,,,,
BEN,Benin,2015,19,male,employed,urban,18151,,,,
BEN,Benin,2015,19,male,unemployed,urban,1142,,,,
BEN,Benin,2015,19,male,unemployed,rural,533,,,,
BEN,Benin,2015,20,female,employed,urban,17649,,,,
BEN,Benin,2015,20,female,employed,rural,23746,,,,
BEN,Benin,2015,20,female,unemployed,rural,765,,,,
