ccode,country,year,age,gender,status,urban,population,education,sector,sector_group,informal
BEN,Benin,2015,15,female,employed,rural,15974.0,,,,
BEN,Benin,2015,15,female,employed,urban,11873.0,,,,
BEN,Benin,2015,15,female,unemployed,rural,515.0,,,,
BEN,Benin,2015,15,female,unemployed,urban,989.0,,,,
BEN,Benin,2015,15,male,employed,rural,13635.0,,,,
BEN,Benin,2015,15,male,employed,urban,11497.0,,,,
BEN,Benin,2015,15,male,unemployed,urban,724.0,,,,
BEN,Benin,2015,15,male,unemployed,rural,337.0,,,,
BEN,Benin,2015,16,female,employed,urban,17167.0,,,,
BEN,Benin,2015,16,female,employed,rural,23099.0,,,,
BEN,Benin,2015,16,female,unemployed,rural,744.0,,,,
BEN,Benin,2015,16,female,unemployed,urban,1431.0,,,,
BEN,Benin,2015,16,male,employed,rural,19735.0,,,,
BEN,Benin,2015,16,male,employed,urban,16640.0,,,,
BEN,Benin,2015,16,male,unemployed,urban,1047.0,,,,
BEN,Benin,2015,16,male,unemployed,rural,489.0,,,,
BEN,Benin,2015,17,female,employed,rural,27848.0,,,,
BEN,Benin,2015,17,female,employed,urban,20697.0,,,,
BEN,Benin,2015,17,female,unemployed,urban,1725.0,,,,
BEN,Benin,2015,17,female,unemployed,rural,897.0,,,,
BEN,Benin,2015,17,male,employed,rural,23862.0,,,,
BEN,Benin,2015,17,male,employed,urban,20118.0,,,,
BEN,Benin,2015,17,male,unemployed,urban,1266.0,,,,
BEN,Benin,2015,17,male,unemployed,rural,591.0,,,,
BEN,Benin,2015,18,female,employed,urban,21018.0,,,,
BEN,Benin,2015,18,female,employed,rural,28279.0,,,,
BEN,Benin,2015,18,female,unemployed,urban,1752.0,,,,
BEN,Benin,2015,18,female,unemployed,rural,910.0,,,,
BEN,Benin,2015,18,male,employed,rural,23862.0,,,,
BEN,Benin,2015,18,male,employed,urban,20118.0,,,,
BEN,Benin,2015,18,male,unemployed,urban,1266.0,,,,
BEN,Benin,2015,18,male,unemployed,rural,591.0,,,,
BEN,Benin,2015,19,female,employed,rural,25473.0,,,,
BEN,Benin,2015,19,female,employed,urban,18932.0,,,,
BEN,Benin,2015,19,female,unemployed,rural,820.0,,,,
BEN,Benin,2015,19,female,unemployed,urban,1578.0,,,,
BEN,Benin,2015,19,male,employed,rural,21530.0,,,,
BEN,Benin,2015,19,male,employed,urban,18151.0,,,,
BEN,Benin,2015,19,male,unemployed,urban,1142.0,,,,
BEN,Benin,2015,19,male,unemployed,rural,533.0,,,,
BEN,Benin,2015,20,female,employed,urban,17649.0,,,,
BEN,Benin,2015,20,female,employed,rural,23746.0,,,,
BEN,Benin,2015,20,female,unemployed,rural,765.0,,,,
BEN,Benin,2015,20,female,unemployed,urban,1471.0,,,,
BEN,Benin,2015,20,male,employed,urban,16790.0,,,,
BEN,Benin,2015,20,male,employed,rural,19915.0,,,,
BEN,Benin,2015,20,male,unemployed,rural,493.0,,,,
BEN,Benin,2015,20,male,unemployed,urban,1057.0,,,,
BEN,Benin,2015,21,female,employed,rural,21803.0,,,,
BEN,Benin,2015,21,female,employed,urban,16205.0,,,,
BEN,Benin,2015,21,female,unemployed,urban,1351.0,,,,
BEN,Benin,2015,21,female,unemployed,rural,702.0,,,,
BEN,Benin,2015,21,male,employed,rural,17941.0,,,,
BEN,Benin,2015,21,male,employed,urban,15127.0,,,,
BEN,Benin,2015,21,male,unemployed,urban,952.0,,,,
BEN,Benin,2015,21,male,unemployed,rural,444.0,,,,
BEN,Benin,2015,22,female,employed,urban,14601.0,,,,
BEN,Benin,2015,22,female,employed,rural,19644.0,,,,
BEN,Benin,2015,22,female,unemployed,urban,1217.0,,,,
